Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
0,743.111111111111,0,0,0,0,0,0,0,0,0,0,0,0,970.666666666667
689.777777777778,0,355.555555555556,0,0,0,0,0,0,0,0,0,0,1642.66666666667,0
0,408.888888888889,0,988.444444444444,0,0,0,0,0,0,0,0,992,0,0
0,0,1041.77777777778,0,785.777777777778,0,0,0,0,0,0,807.111111111111,0,0,0
0,0,0,732.444444444444,0,739.555555555556,0,0,0,0,1169.77777777778,0,0,0,0
0,0,0,0,597.333333333333,0,1095.11111111111,0,0,860.444444444444,0,0,0,0,0
0,0,0,0,0,1237.33333333333,0,0,995.555555555556,0,0,0,0,0,0
0,0,0,0,0,0,0,0,775.111111111111,0,0,0,0,0,0
0,0,0,0,0,0,1137.77777777778,917.333333333333,0,1052.44444444444,0,0,0,0,0
0,0,0,0,0,1002.66666666667,0,0,910.222222222222,0,860.444444444444,0,0,0,0
0,0,0,0,1312,0,0,0,0,1002.66666666667,0,945.777777777778,0,0,0
0,0,0,753.777777777778,0,0,0,0,0,0,1088,0,597.333333333333,0,0
0,0,938.666666666667,0,0,0,0,0,0,0,0,650.666666666667,0,917.333333333333,0
0,1500.44444444444,0,0,0,0,0,0,0,0,0,0,775.111111111111,0,700.444444444444
917.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,558.222222222222,0
