Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
0,0.0254404832293693,0,0,0,0,0,0,0,0,0,0,0,0,0.0310236626249228
0.0254404832293693,0,0.0189584548825846,0,0,0,0,0,0,0,0,0,0,0.0705975316516719,0
0,0.0189584548825846,0,0.0326272878211435,0,0,0,0,0,0,0,0,0.0345686537550091,0,0
0,0,0.0326272878211435,0,0.0168338737071853,0,0,0,0,0,0,0.0446737301078202,0,0,0
0,0,0,0.0168338737071853,0,0.0350990768419586,0,0,0,0,0.0308520442586362,0,0,0,0
0,0,0,0,0.0350990768419586,0,0.0520348438297902,0,0,0.0693333722027606,0,0,0,0,0
0,0,0,0,0,0.0520348438297902,0,0,0.0283627344018927,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0283789583560122,0,0,0,0,0,0
0,0,0,0,0,0,0.0283627344018927,0.0283789583560122,0,0.0297414943249908,0,0,0,0,0
0,0,0,0,0,0.0693333722027606,0,0,0.0297414943249908,0,0.032354551443676,0,0,0,0
0,0,0,0,0.0308520442586362,0,0,0,0,0.032354551443676,0,0.0419531876721866,0,0,0
0,0,0,0.0446737301078202,0,0,0,0,0,0,0.0419531876721866,0,0.049945604430867,0,0
0,0,0.0345686537550091,0,0,0,0,0,0,0,0,0.049945604430867,0,0.0505632299459885,0
0,0.0705975316516719,0,0,0,0,0,0,0,0,0,0,0.0505632299459885,0,0.0817350910279561
0.0310236626249228,0,0,0,0,0,0,0,0,0,0,0,0,0.0817350910279561,0
